bin_index,mode,zones,min_accessibility,zone_id,max_accessibility,zone_id,mean_accessibility
0,a,"1, 2, 4, 7, 10, 18, 19",0,1,0,1,0.0
0,b,"1, 2, 4, 7, 10, 18, 19",0,1,0,1,0.0
0,w,"1, 2, 4, 7, 10, 18, 19",0,1,0,1,0.0
1,a,"3, 5, 12, 13, 15, 17",0,3,0,3,0.0
1,b,"3, 5, 12, 13, 15, 17",0,3,0,3,0.0
1,w,"3, 5, 12, 13, 15, 17",0,3,0,3,0.0
2,a,"9, 11, 16",0,9,0,9,0.0
2,b,"9, 11, 16",0,9,0,9,0.0
2,w,"9, 11, 16",0,9,0,9,0.0
3,a,"6, 8",0,6,0,6,0.0
3,b,"6, 8",0,6,0,6,0.0
3,w,"6, 8",0,6,0,6,0.0
4,a,14,0,14,0,14,0.0
4,b,14,0,14,0,14,0.0
4,w,14,0,14,0,14,0.0
