name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
North Scottsdale Road,1,5589756,1,2,1,86.74,3,56,1800,primary,3,"LINESTRING (-111.9262877 33.4312176, -111.9262851 33.4320000)",auto;bike;walk,1,0,,
North Scottsdale Road,2,5589756,2,1,1,86.74,3,56,1800,primary,3,"LINESTRING (-111.9262851 33.4320000, -111.9262877 33.4312176)",auto;bike;walk,1,0,,
East 6th Street,3,5591077,3,4,1,56.82,1,30,1000,residential,6,"LINESTRING (-111.9303126 33.4236793, -111.9302974 33.4237487, -111.9302893 33.4237753, -111.9302809 33.4238008, -111.9302683 33.4238287, -111.9302531 33.4238532, -111.9302353 33.4238761, -111.9302153 33.4238971, -111.9301901 33.4239166, -111.9301629 33.4239344, -111.9301342 33.4239491, -111.9301050 33.4239619, -111.9300750 33.4239741, -111.9299266 33.4240263)",auto;bike;walk,1,0,,
East 6th Street,4,5591077,4,3,1,56.82,1,30,1000,residential,6,"LINESTRING (-111.9299266 33.4240263, -111.9300750 33.4239741, -111.9301050 33.4239619, -111.9301342 33.4239491, -111.9301629 33.4239344, -111.9301901 33.4239166, -111.9302153 33.4238971, -111.9302353 33.4238761, -111.9302531 33.4238532, -111.9302683 33.4238287, -111.9302809 33.4238008, -111.9302893 33.4237753, -111.9302974 33.4237487, -111.9303126 33.4236793)",auto;bike;walk,1,0,,
East 6th Street,5,5591077,4,5,1,84.34,1,30,1000,residential,6,"LINESTRING (-111.9299266 33.4240263, -111.9292474 33.4242503, -111.9290798 33.4242989)",auto;bike;walk,1,0,,
East 6th Street,6,5591077,5,4,1,84.34,1,30,1000,residential,6,"LINESTRING (-111.9290798 33.4242989, -111.9292474 33.4242503, -111.9299266 33.4240263)",auto;bike;walk,1,0,,
West 6th Street,7,5591085,6,7,1,13.95,1,40,1000,residential,6,"LINESTRING (-111.9403000 33.4243435, -111.9401499 33.4243445)",auto;bike;walk,1,0,,
West 6th Street,8,5591085,7,6,1,13.95,1,40,1000,residential,6,"LINESTRING (-111.9401499 33.4243445, -111.9403000 33.4243435)",auto;bike;walk,1,0,,
West 6th Street,9,5591085,7,8,1,7.34,1,40,1000,residential,6,"LINESTRING (-111.9401499 33.4243445, -111.9400710 33.4243450)",auto;bike;walk,1,0,,
West 6th Street,10,5591085,8,7,1,7.34,1,40,1000,residential,6,"LINESTRING (-111.9400710 33.4243450, -111.9401499 33.4243445)",auto;bike;walk,1,0,,
East 6th Street,11,5591100,9,10,1,8.58,1,40,1000,residential,6,"LINESTRING (-111.9376334 33.4243567, -111.9375411 33.4243581)",auto;bike;walk,1,0,,
East 6th Street,12,5591100,10,9,1,8.58,1,40,1000,residential,6,"LINESTRING (-111.9375411 33.4243581, -111.9376334 33.4243567)",auto;bike;walk,1,0,,
East 6th Street,13,5591100,10,11,1,17.01,1,40,1000,residential,6,"LINESTRING (-111.9375411 33.4243581, -111.9373581 33.4243583)",auto;bike;walk,1,0,,
East 6th Street,14,5591100,11,10,1,17.01,1,40,1000,residential,6,"LINESTRING (-111.9373581 33.4243583, -111.9375411 33.4243581)",auto;bike;walk,1,0,,
East 6th Street,15,5591100,11,12,1,55.86,1,40,1000,residential,6,"LINESTRING (-111.9373581 33.4243583, -111.9367572 33.4243590)",auto;bike;walk,1,0,,
East 6th Street,16,5591100,12,11,1,55.86,1,40,1000,residential,6,"LINESTRING (-111.9367572 33.4243590, -111.9373581 33.4243583)",auto;bike;walk,1,0,,
East 6th Street,17,5591100,12,13,1,8.48,1,40,1000,residential,6,"LINESTRING (-111.9367572 33.4243590, -111.9366660 33.4243591)",auto;bike;walk,1,0,,
East 6th Street,18,5591100,13,12,1,8.48,1,40,1000,residential,6,"LINESTRING (-111.9366660 33.4243591, -111.9367572 33.4243590)",auto;bike;walk,1,0,,
East 6th Street,19,5591100,13,14,1,9.23,1,40,1000,residential,6,"LINESTRING (-111.9366660 33.4243591, -111.9365667 33.4243587)",auto;bike;walk,1,0,,
East 6th Street,20,5591100,14,13,1,9.23,1,40,1000,residential,6,"LINESTRING (-111.9365667 33.4243587, -111.9366660 33.4243591)",auto;bike;walk,1,0,,
East 6th Street,21,5591100,14,15,1,30.95,1,40,1000,residential,6,"LINESTRING (-111.9365667 33.4243587, -111.9362338 33.4243617)",auto;bike;walk,1,0,,
East 6th Street,22,5591100,15,14,1,30.95,1,40,1000,residential,6,"LINESTRING (-111.9362338 33.4243617, -111.9365667 33.4243587)",auto;bike;walk,1,0,,
East 6th Street,23,5591100,15,16,1,36.07,1,40,1000,residential,6,"LINESTRING (-111.9362338 33.4243617, -111.9358458 33.4243666)",auto;bike;walk,1,0,,
East 6th Street,24,5591100,16,15,1,36.07,1,40,1000,residential,6,"LINESTRING (-111.9358458 33.4243666, -111.9362338 33.4243617)",auto;bike;walk,1,0,,
East 6th Street,25,5591100,16,17,1,31.52,1,40,1000,residential,6,"LINESTRING (-111.9358458 33.4243666, -111.9356716 33.4243667, -111.9355070 33.4243584)",auto;bike;walk,1,0,,
East 6th Street,26,5591100,17,16,1,31.52,1,40,1000,residential,6,"LINESTRING (-111.9355070 33.4243584, -111.9356716 33.4243667, -111.9358458 33.4243666)",auto;bike;walk,1,0,,
East 6th Street,27,5591100,17,18,1,10.65,1,40,1000,residential,6,"LINESTRING (-111.9355070 33.4243584, -111.9353940 33.4243427)",auto;bike;walk,1,0,,
East 6th Street,28,5591100,18,17,1,10.65,1,40,1000,residential,6,"LINESTRING (-111.9353940 33.4243427, -111.9355070 33.4243584)",auto;bike;walk,1,0,,
East 6th Street,29,5591100,18,19,1,27.46,1,40,1000,residential,6,"LINESTRING (-111.9353940 33.4243427, -111.9352904 33.4243346, -111.9351644 33.4243302, -111.9350992 33.4243313)",auto;bike;walk,1,0,,
East 6th Street,30,5591100,19,18,1,27.46,1,40,1000,residential,6,"LINESTRING (-111.9350992 33.4243313, -111.9351644 33.4243302, -111.9352904 33.4243346, -111.9353940 33.4243427)",auto;bike;walk,1,0,,
East 6th Street,31,5591100,19,20,1,10.91,1,40,1000,residential,6,"LINESTRING (-111.9350992 33.4243313, -111.9349819 33.4243327)",auto;bike;walk,1,0,,
East 6th Street,32,5591100,20,19,1,10.91,1,40,1000,residential,6,"LINESTRING (-111.9349819 33.4243327, -111.9350992 33.4243313)",auto;bike;walk,1,0,,
East Apache Boulevard,33,5602753,21,22,1,73.59,2,80,1800,primary,3,"LINESTRING (-111.9389443 33.4152954, -111.9388211 33.4152092, -111.9386707 33.4151129, -111.9382922 33.4149218)",auto;bike;walk,0,0,,
East Apache Boulevard,34,5602753,22,23,1,91.57,2,80,1800,primary,3,"LINESTRING (-111.9382922 33.4149218, -111.9381040 33.4148441, -111.9378250 33.4147525, -111.9375837 33.4146896, -111.9373669 33.4146466)",auto;bike;walk,0,0,,
East Apache Boulevard,35,5602753,23,24,1,32.39,2,80,1800,primary,3,"LINESTRING (-111.9373669 33.4146466, -111.9370926 33.4146142, -111.9370216 33.4146084)",auto;bike;walk,0,0,,
West 4th Street,36,5603481,25,26,1,6.97,1,40,1000,residential,6,"LINESTRING (-111.9400770 33.4264624, -111.9401520 33.4264630)",auto;bike;walk,1,0,,
West 4th Street,37,5603481,26,25,1,6.97,1,40,1000,residential,6,"LINESTRING (-111.9401520 33.4264630, -111.9400770 33.4264624)",auto;bike;walk,1,0,,
West 4th Street,38,5603481,26,27,1,13.76,1,40,1000,residential,6,"LINESTRING (-111.9401520 33.4264630, -111.9403000 33.4264642)",auto;bike;walk,1,0,,
West 4th Street,39,5603481,27,26,1,13.76,1,40,1000,residential,6,"LINESTRING (-111.9403000 33.4264642, -111.9401520 33.4264630)",auto;bike;walk,1,0,,
South Mill Avenue,40,5607328,28,29,1,16.46,3,48,1800,primary,3,"LINESTRING (-111.9400858 33.4219347, -111.9400890 33.4218868, -111.9400996 33.4218187, -111.9401025 33.4217870)",auto;bike;walk,0,0,,
South Mill Avenue,41,5607328,29,30,1,58.23,3,48,1800,primary,3,"LINESTRING (-111.9401025 33.4217870, -111.9401020 33.4215259, -111.9400799 33.4212624)",auto;bike;walk,0,0,,
South Mill Avenue,42,5607328,30,31,1,27.97,3,48,1800,primary,3,"LINESTRING (-111.9400799 33.4212624, -111.9400696 33.4210103)",auto;bike;walk,0,0,,
West 10th Street,43,5608313,32,33,1,6.47,1,30,1000,residential,6,"LINESTRING (-111.9400380 33.4190663, -111.9401076 33.4190658)",auto;bike;walk,1,0,,
West 10th Street,44,5608313,33,32,1,6.47,1,30,1000,residential,6,"LINESTRING (-111.9401076 33.4190658, -111.9400380 33.4190663)",auto;bike;walk,1,0,,
