link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,geometry
1,1,2,AM,0,92.93571428571428,56.0,0.0,"LINESTRING (-111.9262877 33.4312176, -111.9262851 33.4320000)"
2,2,1,AM,0,92.93571428571428,56.0,0.0,"LINESTRING (-111.9262851 33.4320000, -111.9262877 33.4312176)"
3,3,4,AM,0,113.64,30.0,0.0,"LINESTRING (-111.9303126 33.4236793, -111.9302974 33.4237487, -111.9302893 33.4237753, -111.9302809 33.4238008, -111.9302683 33.4238287, -111.9302531 33.4238532, -111.9302353 33.4238761, -111.9302153 33.4238971, -111.9301901 33.4239166, -111.9301629 33.4239344, -111.9301342 33.4239491, -111.9301050 33.4239619, -111.9300750 33.4239741, -111.9299266 33.4240263)"
4,4,3,AM,0,113.64,30.0,0.0,"LINESTRING (-111.9299266 33.4240263, -111.9300750 33.4239741, -111.9301050 33.4239619, -111.9301342 33.4239491, -111.9301629 33.4239344, -111.9301901 33.4239166, -111.9302153 33.4238971, -111.9302353 33.4238761, -111.9302531 33.4238532, -111.9302683 33.4238287, -111.9302809 33.4238008, -111.9302893 33.4237753, -111.9302974 33.4237487, -111.9303126 33.4236793)"
5,4,5,AM,0,168.68,30.000000000000004,0.0,"LINESTRING (-111.9299266 33.4240263, -111.9292474 33.4242503, -111.9290798 33.4242989)"
6,5,4,AM,0,168.68,30.000000000000004,0.0,"LINESTRING (-111.9290798 33.4242989, -111.9292474 33.4242503, -111.9299266 33.4240263)"
7,6,7,AM,0,20.925,40.0,0.0,"LINESTRING (-111.9403000 33.4243435, -111.9401499 33.4243445)"
8,7,6,AM,0,20.925,40.0,0.0,"LINESTRING (-111.9401499 33.4243445, -111.9403000 33.4243435)"
9,7,8,AM,0,11.01,40.0,0.0,"LINESTRING (-111.9401499 33.4243445, -111.9400710 33.4243450)"
10,8,7,AM,0,11.01,40.0,0.0,"LINESTRING (-111.9400710 33.4243450, -111.9401499 33.4243445)"
11,9,10,AM,0,12.87,40.0,0.0,"LINESTRING (-111.9376334 33.4243567, -111.9375411 33.4243581)"
12,10,9,AM,0,12.87,40.0,0.0,"LINESTRING (-111.9375411 33.4243581, -111.9376334 33.4243567)"
13,10,11,AM,0,25.515,40.0,0.0,"LINESTRING (-111.9375411 33.4243581, -111.9373581 33.4243583)"
14,11,10,AM,0,25.515,40.0,0.0,"LINESTRING (-111.9373581 33.4243583, -111.9375411 33.4243581)"
15,11,12,AM,0,83.79,40.0,0.0,"LINESTRING (-111.9373581 33.4243583, -111.9367572 33.4243590)"
16,12,11,AM,0,83.79,40.0,0.0,"LINESTRING (-111.9367572 33.4243590, -111.9373581 33.4243583)"
17,12,13,AM,0,12.72,40.0,0.0,"LINESTRING (-111.9367572 33.4243590, -111.9366660 33.4243591)"
18,13,12,AM,0,12.72,40.0,0.0,"LINESTRING (-111.9366660 33.4243591, -111.9367572 33.4243590)"
19,13,14,AM,0,13.845,40.0,0.0,"LINESTRING (-111.9366660 33.4243591, -111.9365667 33.4243587)"
20,14,13,AM,0,13.845,40.0,0.0,"LINESTRING (-111.9365667 33.4243587, -111.9366660 33.4243591)"
21,14,15,AM,0,46.425,40.0,0.0,"LINESTRING (-111.9365667 33.4243587, -111.9362338 33.4243617)"
22,15,14,AM,0,46.425,40.0,0.0,"LINESTRING (-111.9362338 33.4243617, -111.9365667 33.4243587)"
23,15,16,AM,0,54.105000000000004,40.0,0.0,"LINESTRING (-111.9362338 33.4243617, -111.9358458 33.4243666)"
24,16,15,AM,0,54.105000000000004,40.0,0.0,"LINESTRING (-111.9358458 33.4243666, -111.9362338 33.4243617)"
25,16,17,AM,0,47.28,40.0,0.0,"LINESTRING (-111.9358458 33.4243666, -111.9356716 33.4243667, -111.9355070 33.4243584)"
26,17,16,AM,0,47.28,40.0,0.0,"LINESTRING (-111.9355070 33.4243584, -111.9356716 33.4243667, -111.9358458 33.4243666)"
27,17,18,AM,0,15.975,40.0,0.0,"LINESTRING (-111.9355070 33.4243584, -111.9353940 33.4243427)"
