name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
,0,28740177,,,parking,,,"POLYGON ((-111.9278979 33.4255559, -111.9278863 33.4247142, -111.9278018 33.4247145, -111.9277986 33.4246221, -111.928181 33.42462, -111.9281821 33.424684, -111.9281927 33.4246845, -111.9282039 33.4255538, -111.9278979 33.4255559))",POINT (-111.9280389 33.4250773),3024.6,32556.7
Packard South Parking Structure,1,28740179,,yes,parking,,,"POLYGON ((-111.9283389 33.426062, -111.9283215 33.4249817, -111.9285728 33.4249716, -111.928656 33.4249718, -111.9289668 33.4249722, -111.9289648 33.424912, -111.9290969 33.4249048, -111.9290967 33.4249257, -111.9291316 33.4249256, -111.9291396 33.426055, -111.929068 33.4260584, -111.9283389 33.426062))",POINT (-111.9287366 33.4255091),9124.6,98216.0
Tempe Beach Park,2,28752371,,,,park,,"POLYGON ((-111.9402284 33.4299587, -111.9403147 33.4297889, -111.94057 33.4296969, -111.9413724 33.4296098, -111.9423134 33.4296063, -111.9423283 33.4304585, -111.9422979 33.4304899, -111.9423082 33.4308443, -111.9423324 33.430863, -111.9424818 33.4308607, -111.9424819 33.430745, -111.9428011 33.430743, -111.9428058 33.430801, -111.9429027 33.4308005, -111.9429052 33.4307403, -111.9431387 33.430736, -111.9431937 33.4315071, -111.9432182 33.4315696, -111.9432583 33.4316198, -111.9433081 33.4316587, -111.9433666 33.4316891, -111.9434378 33.431706, -111.9435496 33.4317116, -111.9436576 33.4317153, -111.9437085 33.4322545, -111.9436572 33.4322343, -111.943439 33.4320927, -111.9433502 33.4320496, -111.9432778 33.4320315, -111.9432124 33.4320255, -111.9429516 33.4320375, -111.9416435 33.4320687, -111.9409468 33.4321163, -111.940769 33.432147, -111.9405452 33.4321191, -111.9403792 33.4321115, -111.9401704 33.432123, -111.9401053 33.4317974, -111.9402177 33.4317739, -111.940175 33.4315522, -111.9401523 33.4313983, -111.9402655 33.4314013, -111.9405681 33.4312822, -111.9404362 33.4309375, -111.9403195 33.4305629, -111.9402703 33.4303314, -111.9402697 33.4302477, -111.9402284 33.4299587))",POINT (-111.9416314 33.4310061),64402.8,693225.8
Desert Financial Arena,3,28753079,,yes,,stadium,,"POLYGON ((-111.9312904 33.4249032, -111.9311827 33.4249228, -111.9310727 33.4249302, -111.9309623 33.4249328, -111.9308525 33.4249277, -111.9307426 33.4249076, -111.9306376 33.4248704, -111.9305523 33.4248117, -111.9304776 33.4247386, -111.9304319 33.4246515, -111.9304055 33.4245636, -111.9304036 33.4244699, -111.9304259 33.4243768, -111.9304729 33.4242887, -111.9305392 33.4242155, -111.9306263 33.4241612, -111.9307256 33.424118, -111.930838 33.4240921, -111.9309466 33.4240852, -111.9310627 33.4240847, -111.9311666 33.4240873, -111.9312794 33.4241094, -111.9313827 33.4241494, -111.9314754 33.4242105, -111.9315401 33.4242799, -111.931588 33.4243626, -111.9316122 33.4244566, -111.9316181 33.4245458, -111.9315933 33.4246421, -111.931546 33.4247256, -111.9314776 33.4247971, -111.9313954 33.4248615, -111.9312904 33.4249032))",POINT (-111.9310097 33.4245085),8660.5,93220.4
Tempe Police Station,4,28769209,,yes,police,,,"POLYGON ((-111.9378991 33.4266544, -111.9378428 33.4266331, -111.937816 33.426675, -111.9371855 33.4264128, -111.9372082 33.4263685, -111.937001 33.426279, -111.937147 33.4260048, -111.9372386 33.4259991, -111.937241 33.4258855, -111.9372405 33.4258277, -111.9372593 33.4257653, -111.9373222 33.4257638, -111.9373287 33.425693, -111.9375897 33.4256877, -111.9375947 33.4258628, -111.9376944 33.4259092, -111.9377043 33.4258917, -111.9380217 33.426022, -111.9380083 33.4260415, -111.93807 33.4260637, -111.9380767 33.4260787, -111.9379042 33.426375, -111.937973 33.4264033, -111.9379903 33.4263684, -111.9380487 33.4263817, -111.9380482 33.4263955, -111.9378991 33.4266544))",POINT (-111.937563 33.4261912),6404.8,68940.9
Stadium Parking Structure,5,28769223,,parking,parking,,,"POLYGON ((-111.9336597 33.4245968, -111.9336593 33.4245665, -111.9336622 33.424307, -111.9336629 33.4242428, -111.9336609 33.4241754, -111.9336524 33.423652, -111.9335772 33.4236508, -111.9322676 33.4236549, -111.9322372 33.4236538, -111.9322376 33.4236088, -111.9321833 33.4236046, -111.9321849 33.4239323, -111.9322354 33.4239352, -111.9322356 33.4239741, -111.9324067 33.4239684, -111.9326101 33.423971, -111.9326056 33.4242463, -111.9326578 33.4242475, -111.9326598 33.4242887, -111.9330309 33.4242847, -111.9330285 33.4245576, -111.933086 33.4245606, -111.9330866 33.4246043, -111.9336597 33.4245968))",POINT (-111.9330764 33.4240402),10248.1,110309.0
,6,28821516,,,,swimming_pool,,"POLYGON ((-111.932196 33.415302, -111.932196 33.4150871, -111.9314922 33.4150871, -111.9314922 33.415302, -111.932196 33.415302))",POINT (-111.9318441 33.4151945),1559.1,16781.5
Business Administration C Wing,7,28821973,,university,,,,"POLYGON ((-111.93385 33.4168041, -111.9335526 33.4165565, -111.9338456 33.4163036, -111.9341477 33.4165515, -111.9341234 33.4165756, -111.9340868 33.4166037, -111.9339178 33.416744, -111.9339223 33.416777, -111.9339 33.4167598, -111.93385 33.4168041))",POINT (-111.9338496 33.4165541),1537.1,16545.3
Business Administration,8,28821988,,university,,,,"POLYGON ((-111.9342417 33.4166609, -111.9342432 33.4162508, -111.9347947 33.4162521, -111.9347933 33.4166664, -111.9345741 33.4166658, -111.9345729 33.4170029, -111.9343074 33.4170023, -111.9343079 33.416699, -111.9343086 33.416661, -111.9342417 33.4166609))",POINT (-111.9344966 33.4165642),3275.8,35260.9
Discovery Hall,9,28822011,,university,,,,"POLYGON ((-111.9351913 33.4164097, -111.9351944 33.4165872, -111.9354794 33.4165887, -111.9354802 33.4165981, -111.9355069 33.4166066, -111.9355336 33.4166101, -111.9355627 33.4166071, -111.9355849 33.4165982, -111.9355867 33.4165875, -111.9358739 33.4165877, -111.935874 33.4164161, -111.9357663 33.4164161, -111.9355965 33.416416, -111.9355965 33.416342, -111.9354712 33.4163419, -111.9354704 33.4164117, -111.9352636 33.41641, -111.9351913 33.4164097))",POINT (-111.9355309 33.4164934),1336.7,14387.6
