zone_id,geometry,mode,TT_10
1,"LINESTRING (-111.93 33.435,-111.92500000000001 33.435,-111.92500000000001 33.43,-111.93 33.43,-111.93 33.435)",a,0
1,"LINESTRING (-111.93 33.435,-111.92500000000001 33.435,-111.92500000000001 33.43,-111.93 33.43,-111.93 33.435)",w,0
1,"LINESTRING (-111.93 33.435,-111.92500000000001 33.435,-111.92500000000001 33.43,-111.93 33.43,-111.93 33.435)",b,0
2,"LINESTRING (-111.94500000000001 33.425000000000004,-111.94000000000001 33.425000000000004,-111.94000000000001 33.42,-111.94500000000001 33.42,-111.94500000000001 33.425000000000004)",a,0
2,"LINESTRING (-111.94500000000001 33.425000000000004,-111.94000000000001 33.425000000000004,-111.94000000000001 33.42,-111.94500000000001 33.42,-111.94500000000001 33.425000000000004)",w,0
2,"LINESTRING (-111.94500000000001 33.425000000000004,-111.94000000000001 33.425000000000004,-111.94000000000001 33.42,-111.94500000000001 33.42,-111.94500000000001 33.425000000000004)",b,0
3,"LINESTRING (-111.94500000000001 33.43,-111.94000000000001 33.43,-111.94000000000001 33.425,-111.94500000000001 33.425,-111.94500000000001 33.43)",a,0
3,"LINESTRING (-111.94500000000001 33.43,-111.94000000000001 33.43,-111.94000000000001 33.425,-111.94500000000001 33.425,-111.94500000000001 33.43)",w,0
3,"LINESTRING (-111.94500000000001 33.43,-111.94000000000001 33.43,-111.94000000000001 33.425,-111.94500000000001 33.425,-111.94500000000001 33.43)",b,0
4,"LINESTRING (-111.94500000000001 33.42,-111.94000000000001 33.42,-111.94000000000001 33.415,-111.94500000000001 33.415,-111.94500000000001 33.42)",a,0
4,"LINESTRING (-111.94500000000001 33.42,-111.94000000000001 33.42,-111.94000000000001 33.415,-111.94500000000001 33.415,-111.94500000000001 33.42)",w,0
4,"LINESTRING (-111.94500000000001 33.42,-111.94000000000001 33.42,-111.94000000000001 33.415,-111.94500000000001 33.415,-111.94500000000001 33.42)",b,0
5,"LINESTRING (-111.93 33.43,-111.92500000000001 33.43,-111.92500000000001 33.425,-111.93 33.425,-111.93 33.43)",a,0
5,"LINESTRING (-111.93 33.43,-111.92500000000001 33.43,-111.92500000000001 33.425,-111.93 33.425,-111.93 33.43)",w,0
5,"LINESTRING (-111.93 33.43,-111.92500000000001 33.43,-111.92500000000001 33.425,-111.93 33.425,-111.93 33.43)",b,0
6,"LINESTRING (-111.93 33.425000000000004,-111.92500000000001 33.425000000000004,-111.92500000000001 33.42,-111.93 33.42,-111.93 33.425000000000004)",a,0
6,"LINESTRING (-111.93 33.425000000000004,-111.92500000000001 33.425000000000004,-111.92500000000001 33.42,-111.93 33.42,-111.93 33.425000000000004)",w,0
6,"LINESTRING (-111.93 33.425000000000004,-111.92500000000001 33.425000000000004,-111.92500000000001 33.42,-111.93 33.42,-111.93 33.425000000000004)",b,0
7,"LINESTRING (-111.94 33.415000000000006,-111.935 33.415000000000006,-111.935 33.410000000000004,-111.94 33.410000000000004,-111.94 33.415000000000006)",a,0
7,"LINESTRING (-111.94 33.415000000000006,-111.935 33.415000000000006,-111.935 33.410000000000004,-111.94 33.410000000000004,-111.94 33.415000000000006)",w,0
7,"LINESTRING (-111.94 33.415000000000006,-111.935 33.415000000000006,-111.935 33.410000000000004,-111.94 33.410000000000004,-111.94 33.415000000000006)",b,0
8,"LINESTRING (-111.94 33.425000000000004,-111.935 33.425000000000004,-111.935 33.42,-111.94 33.42,-111.94 33.425000000000004)",a,0
8,"LINESTRING (-111.94 33.425000000000004,-111.935 33.425000000000004,-111.935 33.42,-111.94 33.42,-111.94 33.425000000000004)",w,0
8,"LINESTRING (-111.94 33.425000000000004,-111.935 33.425000000000004,-111.935 33.42,-111.94 33.42,-111.94 33.425000000000004)",b,0
9,"LINESTRING (-111.935 33.42,-111.93 33.42,-111.93 33.415,-111.935 33.415,-111.935 33.42)",a,0
9,"LINESTRING (-111.935 33.42,-111.93 33.42,-111.93 33.415,-111.935 33.415,-111.935 33.42)",w,0
9,"LINESTRING (-111.935 33.42,-111.93 33.42,-111.93 33.415,-111.935 33.415,-111.935 33.42)",b,0
10,"LINESTRING (-111.935 33.415000000000006,-111.93 33.415000000000006,-111.93 33.410000000000004,-111.935 33.410000000000004,-111.935 33.415000000000006)",a,0
10,"LINESTRING (-111.935 33.415000000000006,-111.93 33.415000000000006,-111.93 33.410000000000004,-111.935 33.410000000000004,-111.935 33.415000000000006)",w,0
10,"LINESTRING (-111.935 33.415000000000006,-111.93 33.415000000000006,-111.93 33.410000000000004,-111.935 33.410000000000004,-111.935 33.415000000000006)",b,0
11,"LINESTRING (-111.94 33.42,-111.935 33.42,-111.935 33.415,-111.94 33.415,-111.94 33.42)",a,0
11,"LINESTRING (-111.94 33.42,-111.935 33.42,-111.935 33.415,-111.94 33.415,-111.94 33.42)",w,0
11,"LINESTRING (-111.94 33.42,-111.935 33.42,-111.935 33.415,-111.94 33.415,-111.94 33.42)",b,0
12,"LINESTRING (-111.94 33.435,-111.935 33.435,-111.935 33.43,-111.94 33.43,-111.94 33.435)",a,0
12,"LINESTRING (-111.94 33.435,-111.935 33.435,-111.935 33.43,-111.94 33.43,-111.94 33.435)",w,0
12,"LINESTRING (-111.94 33.435,-111.935 33.435,-111.935 33.43,-111.94 33.43,-111.94 33.435)",b,0
13,"LINESTRING (-111.94 33.43,-111.935 33.43,-111.935 33.425,-111.94 33.425,-111.94 33.43)",a,0
13,"LINESTRING (-111.94 33.43,-111.935 33.43,-111.935 33.425,-111.94 33.425,-111.94 33.43)",w,0
13,"LINESTRING (-111.94 33.43,-111.935 33.43,-111.935 33.425,-111.94 33.425,-111.94 33.43)",b,0
14,"LINESTRING (-111.935 33.425000000000004,-111.93 33.425000000000004,-111.93 33.42,-111.935 33.42,-111.935 33.425000000000004)",a,0
14,"LINESTRING (-111.935 33.425000000000004,-111.93 33.425000000000004,-111.93 33.42,-111.935 33.42,-111.935 33.425000000000004)",w,0
